"STATUS_0", "Incompleto o invalido"
"STATUS_1", "Cancellato dal cliente"
"STATUS_2", "Autorizzazione rifiutata"
"STATUS_4", "Ordine salvato"
"STATUS_40", "Salvato, in attesa del risultato estreno"
"STATUS_41", "In attesa del pagamento del cliente"
"STATUS_46", "Waiting (for identification)"
"STATUS_5", "Autorizzato"
"STATUS_50", "Autorizzato, in attesa del risultato estreno"
"STATUS_51", "Autorizzazione in attesa"
"STATUS_52", "Autorizzazione incerta"
"STATUS_55", "Stand-by"
"STATUS_56", "OK con in pagamenti pianificati"
"STATUS_57", "Errore nei pagamenti pianificati"
"STATUS_59", "Autorizzazione da ricevere manualmente"
"STATUS_6", "Autorizzato e cancellato"
"STATUS_61", "Storno dell'autorizzazione in attesa"
"STATUS_62", "Storno dell'autorizzazione incerto"
"STATUS_63", "Storno dell'autorizzazione rifiutato"
"STATUS_64", "Autorizzato e cancellato"
"STATUS_7", "Pagamento cancellato"
"STATUS_71", "Storno del Pagamento in attesa"
"STATUS_72", "Storno del Pagamento incerto"
"STATUS_73", "Storno del Pagamento rifiutato"
"STATUS_74", "Pagamento cancellato"
"STATUS_75", "Storno del Pagamento da parte del mercante"
"STATUS_8", "Rimborso"
"STATUS_81", "Rimborso in attesa"
"STATUS_82", "Rimborso incerto"
"STATUS_83", "Rimborso rifiutato"
"STATUS_84", "Pagamento rifiutato dall'acquirente"
"STATUS_85", "Rimborso processato dal mercante"
"STATUS_9", "Pagamento richiesto"
"STATUS_91", "Pagamento in processo"
"STATUS_92", "Pagamento incerto"
"STATUS_93", "Pagamento rifiutato"
"STATUS_94", "Pagamento rifiutato dall'acquirente"
"STATUS_95", "Pagamento effettuato dal mercante"
"STATUS_99", "In processo"
"Hash is not valid", "Hash non valido"
"Order is not valid", "Ordine non valido"
"Process outgoing transaction", "Processazione della transazioni in uscita"
"Start PayEngine processing", "Inizio processazione PayEngine"
"Your payment information was declined. Please select another payment method.", "I Vostri dati di pagammento sono stati rifiutati. Si prega di selezionare un altro metodo di pagamento."
"Order canceled on PayEngine side. Status: %s, Payment ID: %s.", "Ordine cancellato sul PayEngine. Status: %s, Payment ID: %s."
"Account number must contain numbers only.", "Il numero di conto deve contenere unicamente numeri."
"Bank code must contain numbers only.", "Il numero di conto deve contenere unicamente numeri."
"Account Holder must be filled in.", "Il campo intestatario deve essere compilato."
"Capture process complete", "Processo di accredito eseguito"
"The capture has already been invoiced.", "L'accredito é stato già eseguito."
"Cannot create an invoice without products.", "No é possibile creare un fattura senza prodotti."
"Partial capture process complete", "Processo dell'accredito parziale eseguito"
"Invoice '%s' was created automatically. PayEngine Status: %s.", "La fattura '%s' é stata creata automaticamente. PayEngine Status: %s."
"Start PayEngine refund request", "Inizio della richiesta di rimborso sul PayEngine"
"Creditmemo will be created automatically as soon as PayEngine sends an acknowledgement. PayEngine Status: %s.", "Il rimborso sarà creato automaticamente quando il PayEngine manderà la conferma. Sato del PayEngine: %s."
"Creditmemo '%s' was created automatically. PayEngine Status: %s.", "Il rimborso '%s' é stato creato automaticamente. Sato del PayEngine: %s."
"Could not perform actions for PayEngine status: %s.", "Impossibile eseguire azioni per lo stato del PayEngine status: %s."
"Refund is waiting or uncertain. PayEngine status: %s.", "Rimborso in attesa o incerto. Sato del PayEngine: %s."
"Refund was refused. Automatic creation failed. PayEngine status: %s.", "Rimborso é stato rifiutato. Creazione automatica  fallita. Sato del PayEngine: %s."
"Capture is waiting or uncertain. PayEngine status: %s.", "Accredito in attesa o incerto. Sato del PayEngine: %s."
"Capture was refused. Automatic creation failed. PayEngine status: %s.", "L' accredito é stato rifiutato. Creazione automatica  fallita. Sato del PayEngine: %s."
"Void is waiting or uncertain. PayEngine status: %s.", "Annullamento in attesa o incerto. Sato del PayEngine: %s."
"Void was refused. Automatic creation failed. PayEngine status: %s.", "Annullamento é stato rifiutato. Creazione automatica  fallita. Sato del PayEngine: %s."
"Authorization status changed. Current PayEngine status is: %s.", "Lo sato dell'autorizzazione é cambiato. Sato corrente del PayEngine: %s."
"Unknown PayEngine status: %s.", "Sato del PayEngine ingnoto: %s."
"Order can not be saved.", "L' ordine non puo' essere salvato."
"Order can not be canceled for system reason.", "L' ordine non puo' essere cancellato par motivi di sistema."
"Order declined on ops side. PayEngine status: %s, Payment ID: %s.", "Ordine rifiutato da parte del  PayEngine. Sato del PayEngine: %s, Payment ID: %s."
"Order can not be saved for system reason.", "L' ordine non puo' essere savato par motivi di sistema."
"An unknown exception occured.", "Si é verificata un'eccezione ingota."
"A technical problem arose during payment process, giving unpredictable result. PayEngine status: %s.", "Si é verificato un problema tecnico durante il processo di pagamento, dando un risultato ignoto. Sato del PayEngine: %s."
"An unknown exception was thrown in the payment process. PayEngine status: %s.", "Si é verificata un'eccezione inaspettata durante il processo di pagamento. Sato del PayEngine: %s."
"Waiting for the payment of the customer", "In attesa del pagamento da parte del cliente"
"Authorization waiting from PayEngine", "In attesa del pagamento da parte del PayEngine"
"Processed by PayEngine", "Processato dal PayEngine"
"Waiting for payment. PayEngine status: %s.", "In attesa del pagamento. Sato del PayEngine: %s."
"Authorization waiting. PayEngine status: %s.", "In attesa dell'autorizzazione. Sato del PayEngine: %s."
"Authorization uncertain. PayEngine status: %s.", "Autorizzazione incerta. Sato del PayEngine: %s."
"Processed by PayEngine. Payment ID: %s. PayEngine status: %s.", "Processato da PayEngine. Payment ID: %s. Sato del PayEngine: %s."
"PayEngine server is temporarily not available, please try again later.", "Il server del PayEngine non é momentaneamente reperibile, si prega di riprovare più tardi."
"An error occured during the PayEngine request. Your action could not be executed. Message: '%s'.", "Si é verificato un errore durenta la rchiesta del PayEngine. L'operazione richiesta no é potuta essere eseguita. Messaggio: '%s'."
"You already sent a capture request. Please wait until the capture request is acknowledged.", "La richesta di accredito é stata già inviata. Si prega di attendere la conferma d'accredito."
"There is one void request waiting. Please wait until this request is acknowledged.", "Una richiesta di annullamento in attesa. Si prega di attendere la conferma di tale processo."
"Start PayEngine %s capture request", "Inizio di richiest di accredito da parte del %s"
"Invoice will be created automatically as soon as PayEngine sends an acknowledgement. PayEngine status: %s.", "La fattura verrà stata creata automaticamente quando l'PayEngine invierà la conferma. Sato del PayEngine: %s."
"The Invoice will be created automatically as soon as PayEngine sends an acknowledgement.", "La fattura verrà stata creata automaticamente quando l'PayEngine invierà la conferma."
"The Invoice was not created. PayEngine status: %s.", "La fattura no é stata creata. Sato del PayEngine: %s."
"The CreditMemo was not created. PayEngine status: %s.", "La nota di credito non é stata creata. Sato del PayEngine:  %s."
"The Creditmemo will be created automatically as soon as PayEngine sends an acknowledgement.", "La nota di credito verrà creata automaticamente quando l'PayEngine avrà inviato la conferma."
"There is already one creditmemo in the queue. The Creditmemo will be created automatically as soon as PayEngine sends an acknowledgement.", "Una nota di credito gia in coda. La nota di credito verrà creata automaticamente quando l'PayEngine avrà inviato la conferma."
"Please use void to cancel the operation.", "Si prega di utilizare Annulla per cancellare l'operazione."
"You already sent a void request. Please wait until the void request will be acknowledged.", "Si ha gia inviato una richiest di annullamento. Si prega di attendere la conferma di annullamento."
"There is one capture request waiting. Please wait until this request is acknowledged.", "Non vi sono richieste d'accredito in attesa. Si prega di attendere la conferma di questa richiesta."
"The void request is sent. Please wait until the void request will be accepted.", "La richiesta di annullamento é stata inviata. Si prega di attendere finche la richiesta di annullamento si stata accettata."
"Void order succeed. PayEngine status: %s.", "Annullamento d'ordine completato. Sato del PayEngine: %s."
"Void order failed. PayEngine status: %s.", "Annullamento d'ordine fallito. Sato del PayEngine: %s."
"Authorization", "Autorizzazione"
"Direct Sale", "Vendita"
"Horizontally grouped logo with group name on left", "Ragruppamento dei logi orizontale con nome del gruppo a sinistra"
"Horizontally grouped logo with no group name", "Ragruppamento dei logi orizontale senza nome del gruppo"
"Verical list", "Lista verticale"
"You will be redirected to the payment page after the order confirmation.", "Si verrà trasferiti sulla pagina di pagamento dopo la conferma dell'ordine."
